"","SALE_ID","NEIGHBORHOOD_ID","BUILDING_CLASS_FINAL_ROLL","ADDRESS","APARTMENT_NUMBER","ZIP_CODE","RESIDENTIAL_UNITS","COMMERCIAL_UNITS","GROSS_SQUARE_FEET","YEAR_BUILT","SALE_PRICE","SALE_DATE","DESCRIPTION","TYPE","NEIGHBORHOOD_NAME","BOROUGH_ID"
"9656",1294189,235,"B9","283 24TH   STREET",NA,11232,2,0,2640,1910,1612000,2016-06-15,"MISCELLANEOUS TWO FAMILY","RESIDENTIAL","SUNSET PARK","3"
"9657",1294190,235,"B9","546 53RD   STREET",NA,11220,2,0,1840,1910,1210000,2016-06-15,"MISCELLANEOUS TWO FAMILY","RESIDENTIAL","SUNSET PARK","3"
"9658",1294191,235,"C0","322 43RD   STREET",NA,11232,3,0,1296,1910,730000,2016-06-15,"THREE FAMILIES","RESIDENTIAL","SUNSET PARK","3"
"9659",1294192,235,"C0","351 54TH STREET",NA,11220,3,0,3000,1901,0,2016-06-15,"THREE FAMILIES","RESIDENTIAL","SUNSET PARK","3"
"9660",1294193,235,"C6","673 41ST STREET, 1",NA,11232,0,0,0,1924,305000,2016-06-15,"WALK-UP COOPERATIVE","RESIDENTIAL","SUNSET PARK","3"
"9661",1294579,235,"C0","325A 21 STREET",NA,11215,3,0,1288,1905,0,2016-06-16,"THREE FAMILIES","RESIDENTIAL","SUNSET PARK","3"
"9662",1294580,235,"O5","462 36TH STREET",NA,11232,0,29,25256,1958,8025000,2016-06-16,"OFFICE WITH COMM - 1 TO 6 STORIES","COMMERCIAL","SUNSET PARK","3"
"9663",1294581,235,"RB","531 52ND   STREET","B",11220,0,0,0,0,721175,2016-06-16,"OFFICE SPACE","COMMERCIAL","SUNSET PARK","3"
"9664",1295323,235,"B9","439 36TH   STREET",NA,11232,2,0,2295,1899,0,2016-06-20,"MISCELLANEOUS TWO FAMILY","RESIDENTIAL","SUNSET PARK","3"
"9665",1295324,235,"C0","188 33RD   STREET",NA,11232,3,0,2688,1920,945000,2016-06-20,"THREE FAMILIES","RESIDENTIAL","SUNSET PARK","3"
"9666",1295325,235,"I5","514 49TH   STREET",NA,11220,0,0,30862,1955,0,2016-06-20,"HEALTH CENTER, CHILD CENTER, CLINIC","COMMERCIAL","SUNSET PARK","3"
"9667",1295326,235,"I5","5616 6 AVENUE",NA,11220,0,0,6700,1931,0,2016-06-20,"HEALTH CENTER, CHILD CENTER, CLINIC","COMMERCIAL","SUNSET PARK","3"
"9668",1295630,235,"C1","426 49TH STREET",NA,11220,8,0,6832,1931,1400000,2016-06-21,"OVER SIX FAMILIES WITHOUT STORES","RESIDENTIAL","SUNSET PARK","3"
"9669",1295631,235,"C1","434 49TH STREET",NA,11220,8,0,6832,1931,1400000,2016-06-21,"OVER SIX FAMILIES WITHOUT STORES","RESIDENTIAL","SUNSET PARK","3"
